GADM_ID;GADM_ISO;GADM_NAME;DEGURBA_L1;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030
40;CAN;Canada;UC;7524158.041;8658531.282;9976900.115;11355117.19;12869046.3;14342569.07;15998139.08;17877433.96;19305380.57;20723647.84;21922953.01;23059208.15
40;CAN;Canada;UCL;8270235.409;8220246.488;8099515.867;8341961.62;8269818.671;8060954.58;7842016.029;7552677.254;7715094.482;8144596.165;8258215.067;8482907.365
40;CAN;Canada;RUR;7333304.742;7623621.608;7757840.324;7949664.814;8139133.986;8267691.377;8363228.915;8520475.418;8698413.798;9006437.593;9235699.818;9451139.164
41;CCK;Cocos Islands;UC;0;0;0;0;0;0;0;0;0;0;0;0
41;CCK;Cocos Islands;UCL;0;0;0;0;0;0;0;0;0;0;0;0
41;CCK;Cocos Islands;RUR;569.0346899;559.8752212;574.0592605;584.8441625;562.2283795;595.982638;587.6215251;586.1020801;563.5686709;545.5936465;520.3957694;495.2471181
42;CHE;Switzerland;UC;1441086.192;1422507.11;1516632.852;1762161.004;1888193.117;1916697.328;2101955.613;2201883.12;2435698.137;2679612.59;2834223.365;2956289.268
42;CHE;Switzerland;UCL;2781367.423;2781715.014;2833067.197;2813568.665;3045445.194;3171652.829;3240625.105;3566335.408;3754765.956;3856399.15;3968518.999;4069401.087
42;CHE;Switzerland;RUR;2083557.105;2083862.546;2088424.901;2102762.157;2069402.31;2057882.295;2049216.838;2015516.695;2050187.974;2060057.615;2057222.286;2070951.826
43;CHL;Chile;UC;4978283.552;5769371.628;6480196.821;7153371.59;8196531.5;9079097.957;10039921.6;10785509.81;11527371.52;12611093.59;12865487.11;13079640.42
43;CHL;Chile;UCL;2370439.839;2341760.144;2373267.155;2508981.923;2549435.302;2684481.056;2703006.228;2905269.74;3010430.511;3169247.037;3264220.569;3267585.685
43;CHL;Chile;RUR;3290840.521;3358757.37;3473032.233;3680655.893;3670956.74;3588351.107;3432560.438;3313665.376;3332703.829;3520363.879;3560967.372;3586854.175
44;CHN;China;UC;229900148.4;256210357.4;289954930.3;336705955.7;400675419.4;475725885.9;514880242.8;552884977.3;598188318.3;636678592.3;652211940;654157214.7
44;CHN;China;UCL;455297638.1;488745581.2;531166809.2;579077241.6;584487092.7;560994284;565203304.4;572026316.8;571831444.4;562964350.5;548861998.3;537658890.1
44;CHN;China;RUR;234643958.8;242661434.7;244841234.2;244136782.5;239656716.4;234586824.1;232280314.5;231026489.9;231774111.2;233534469.3;231608884.3;232124714.1
45;CIV;Côte d'Ivoire;UC;1432636.965;2035209.819;2748679.624;3456909.724;4550263.755;5612327.395;6379465.344;7370314.626;8475967.289;10108136.91;11565677.75;13477743.93
45;CIV;Côte d'Ivoire;UCL;2048308.589;2319915.48;2589039.518;3086894.054;3619495.472;4361169.524;5158710.908;5815810.493;6713269.341;7594540.78;8676246.258;9664278.428
45;CIV;Côte d'Ivoire;RUR;3365343.895;3940186.165;4616650.568;5355030.063;6116308.592;6810267.583;7414554.214;7915885.948;8388962.086;9091104.073;10083579.13;11050450.69
46;CMR;Cameroon;UC;2508635.351;3035047.513;3713977.155;4589610.529;5858736.827;7136434.566;8541510.149;10310294.64;12224014.18;14191233.52;16459841.88;19051989.53
46;CMR;Cameroon;UCL;2364405.35;2628614.124;2854747.379;3170050.251;3361016.884;3629998.067;3987565.161;4269410.127;4804968.801;5484568.095;6217241.509;7007612.139
46;CMR;Cameroon;RUR;2528047.677;2860826.006;3240487.005;3674533.774;3995784.695;4330925.58;4756472.116;5315659.562;6009509.043;6849403.802;7521739.758;8049498.847
47;COD;Democratic Republic of the Congo;UC;7641219.037;9057316.471;10704555.41;12956038.12;16665459.34;19709642.56;24321606.66;29284278.76;36667332.71;44544526.18;54502458.39;66149135.02
47;COD;Democratic Republic of the Congo;UCL;5648360.883;6372827.732;7271472.133;8548253.559;10389455.63;11697356.2;13218137.78;16241015.19;19082041.64;22706610.87;26761443.3;31329453.04
47;COD;Democratic Republic of the Congo;RUR;9801740.131;11310297.92;12851087.45;14504024.48;16238987.97;17216084.83;19015705.48;20872853.6;22915375.81;25612163.45;27813996.2;30093568.02
48;COG;Republic of the Congo;UC;1451024.188;1626027.051;1823283.808;2042083.928;2213280.528;2390878.465;2562534.815;3078794.482;3561006.679;4231290.294;4687617.42;5368471.212
48;COG;Republic of the Congo;UCL;77216.39027;93118.5837;102324.0236;134163.2387;273255.2177;380273.4167;635843.5428;733753.2917;799167.1918;776125.0432;973701.8425;1064715.517
48;COG;Republic of the Congo;RUR;103204.0067;117782.3379;146123.3588;219731.059;268748.2756;377637.9492;489525.4158;640892.4339;722137.4466;717721.1284;748814.7987;712740.7176
49;COK;Cook Islands;UC;0;0;0;0;0;0;0;0;0;0;0;0
49;COK;Cook Islands;UCL;0;0;0;0;0;0;8236.49716;8553.670614;8266.441484;0;0;0
49;COK;Cook Islands;RUR;18863.00002;17650.99999;16657.00002;17122.99999;17735;15897;6909.502846;8658.329367;9428.558515;17029;17102;17253
50;COL;Colombia;UC;11476790.13;12720295.65;14434792.91;16214860.37;18579210.97;21192714.72;24020328.06;26438240.44;28831980.83;31783039.8;33242562.51;35057405.54
50;COL;Colombia;UCL;5385950.519;6078869.135;6618467.052;7187086.573;8207020.491;8858437.246;8857289.686;9035108.979;9074583.681;9731429.055;9976584.418;9733764.714
50;COL;Colombia;RUR;6546999.672;7382831.176;8278899.605;9205371.255;9191809.608;9173369.506;9352689.255;9351700.697;9221784.091;9422447.677;9397783.524;9345504.805
51;COM;Comoros;UC;77353.50665;86786.26338;160534.7135;188659.7175;212347.5791;236015.9588;270430.0325;301959.7671;337078.6436;375697.8064;412020.7284;449552.6194
51;COM;Comoros;UCL;93358.31203;126077.0447;99048.77321;113636.4273;137768.9304;167627.2058;182810.8786;220299.7733;272439.4053;320251.5964;364073.4748;401267.5931
51;COM;Comoros;RUR;109324.1811;115464.6919;116066.5136;128822.855;133643.4902;133114.8351;139442.0888;133764.4597;120697.9513;110216.5973;106980.7966;108591.7868
52;CPV;Cabo Verde;UC;71936.47673;76128.55393;79572.29429;80546.28009;95155.56714;167321.483;186201.9113;197568.4757;213153.5494;236192.7044;249751.0547;272203.26
52;CPV;Cabo Verde;UCL;131848.7027;132151.1595;145901.2756;164222.5299;188341.363;162445.1104;165880.5287;190716.3715;203214.7794;206962.8996;212122.4882;211208.6685
52;CPV;Cabo Verde;RUR;100589.8202;108954.2865;114400.431;119794.1902;127885.0699;128484.4064;140744.5596;132927.1526;135797.6716;139484.3964;148335.4567;155428.0714
53;CRI;Costa Rica;UC;706874.3048;858588.2362;999377.3797;1278688.986;1534289.325;1800248.993;1922559.649;2136099.676;2264470.95;2515671.96;2630802.603;2702366.799
53;CRI;Costa Rica;UCL;563836.3099;643906.3783;789823.2526;849018.07;957227.0943;1075787.733;1238401.943;1254735.547;1343045.024;1283223.89;1308083.16;1340762.229
53;CRI;Costa Rica;RUR;842730.0086;914068.9435;985219.7997;1034385.538;1086068.778;1108876.446;1161545.055;1238806.25;1295830.836;1333287.441;1350837.108;1399017.762
54;CUB;Cuba;UC;4407241.283;4509806.652;4691517.016;4908840.615;5096986.1;5186792.548;5263371.079;5349737.75;5449828.727;5303100.128;5199640.096;5002410.751
